description,fdcId,dataType,publishedDate,brands,categories,code
"Classic mixed vegetables, canned, cooked with oil",2710020,Survey (FNDDS),2024-10-31,,,
"Classic mixed vegetables, cooked, from restaurant",2710012,Survey (FNDDS),2024-10-31,,,
"Classic mixed vegetables, frozen, cooked with oil",2710018,Survey (FNDDS),2024-10-31,,,
"Codfish with starchy vegetables, Puerto Rican style",2706719,Survey (FNDDS),2024-10-31,,,
"Fish shish kabob with vegetables, excluding potatoes",2706867,Survey (FNDDS),2024-10-31,,,
"Lamb shish kabob with vegetables, excluding potatoes",2706780,Survey (FNDDS),2024-10-31,,,
"Meat loaf with potatoes, vegetable, frozen meal",2707122,Survey (FNDDS),2024-10-31,,,
"Pork shish kabob with vegetables, excluding potatoes",2706779,Survey (FNDDS),2024-10-31,,,
"Potsticker or wonton, pork and vegetable, frozen, unprepared",169773,SR Legacy,2019-04-01,,,
"Shrimp shish kabob with vegetables, excluding potatoes",2706855,Survey (FNDDS),2024-10-31,,,
"Soup, beef and vegetables, canned, ready-to-serve",171190,SR Legacy,2019-04-01,,,
"Soup, chicken and vegetable, canned, ready-to-serve",171546,SR Legacy,2019-04-01,,,
"Soup, chunky vegetable, canned, ready-to-serve",171559,SR Legacy,2019-04-01,,,
